dcls_month,fin_co_no,fin_prdt_cd,intr_rate_type,intr_rate_type_nm,rsrv_type,rsrv_type_nm,save_trm,intr_rate,intr_rate2,kor_co_nm,fin_prdt_nm,join_way,mtrt_int,spcl_cnd,join_deny,join_member,etc_note,max_limit,dcls_strt_day,dcls_end_day,fin_co_subm_day
202508,0010346,31003,S,단리,F,자유적립식,36,2.9,2.9,OSB저축은행,프리스타일적금,"영업점,인터넷,스마트폰","- 만기 후 1개월 이내: 가입 시 약정금리와 만기 시 동일 상품의 금리 중 낮은 금리 적용
- 만기 후 1개월 경과: 보통예금 금리(0.2%)",없음,제한없음,제한없음,"-월 불입금 1만원 이상
-12개월 이상 ~ 36개월 까지 (월 단위 가능)
-만기시 이자지급
-월중 입금액은 계약금액의 10%를 초과할 수 없으며, 만기일로부터 1개월 이내는 납입불가",,20250625,,202506250841
202508,0010349,0803,M,복리,F,자유적립식,12,3.6,4.0,디비저축은행,M-Dream Big 자유적금 (모바일),스마트폰,"- 1개월 이하: 기본이율
- 1개월 초과: 0.5% 
기본이율: 신규일 당시 고시이율(단, 우대이율 제외)",* 우대이율: 만기 유지시 만기축하 이율 연 0.40% 적용 - 기본이율 3.60% + 우대이율 0.40% ※ 우대이율은 중도해지시에는 적용되지 않습니다. - 자세한 내용은 당사 모바일뱅킹 APP을 통해 확인하여 주시기 바랍니다.,제한없음,만 19세 이상 실명의 개인고객 (1인 1계좌 한정),"- 최소가입금액: 1,000원 이상 
- 한도: 분기당 50만원(연 2백만원) * 분기 예) 1~3월, 4~6월, 7~9월, 10~12월",2000000.0,20220822,,202108131200
202508,0010349,310000,M,복리,S,정액적립식,36,4.1,4.1,디비저축은행,정기적금,영업점,1개월 이하 : 신규 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율 / 1개월 초과 : 0.1%,해당사항없음,제한없음,실명의 개인/법인,최소가입금액 : 1만원 이상 / 가입채널 : 영업점,,20241129,,202411291049
202508,0010349,310000,M,복리,S,정액적립식,24,4.1,4.1,디비저축은행,정기적금,영업점,1개월 이하 : 신규 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율 / 1개월 초과 : 0.1%,해당사항없음,제한없음,실명의 개인/법인,최소가입금액 : 1만원 이상 / 가입채널 : 영업점,,20241129,,202411291049
202508,0010349,310000,M,복리,S,정액적립식,12,4.0,4.0,디비저축은행,정기적금,영업점,1개월 이하 : 신규 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율 / 1개월 초과 : 0.1%,해당사항없음,제한없음,실명의 개인/법인,최소가입금액 : 1만원 이상 / 가입채널 : 영업점,,20241129,,202411291049
202508,0010349,310000,M,복리,S,정액적립식,6,2.8,2.8,디비저축은행,정기적금,영업점,1개월 이하 : 신규 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율 / 1개월 초과 : 0.1%,해당사항없음,제한없음,실명의 개인/법인,최소가입금액 : 1만원 이상 / 가입채널 : 영업점,,20241129,,202411291049
202508,0010349,310000,S,단리,S,정액적립식,36,4.1,4.1,디비저축은행,정기적금,영업점,1개월 이하 : 신규 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율 / 1개월 초과 : 0.1%,해당사항없음,제한없음,실명의 개인/법인,최소가입금액 : 1만원 이상 / 가입채널 : 영업점,,20241129,,202411291049
202508,0010349,310000,S,단리,S,정액적립식,24,4.1,4.1,디비저축은행,정기적금,영업점,1개월 이하 : 신규 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율 / 1개월 초과 : 0.1%,해당사항없음,제한없음,실명의 개인/법인,최소가입금액 : 1만원 이상 / 가입채널 : 영업점,,20241129,,202411291049
202508,0010349,310000,S,단리,S,정액적립식,12,4.0,4.0,디비저축은행,정기적금,영업점,1개월 이하 : 신규 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율 / 1개월 초과 : 0.1%,해당사항없음,제한없음,실명의 개인/법인,최소가입금액 : 1만원 이상 / 가입채널 : 영업점,,20241129,,202411291049
202508,0010349,310000,S,단리,S,정액적립식,6,2.8,2.8,디비저축은행,정기적금,영업점,1개월 이하 : 신규 당시 약정이율 또는 만기시점 동일상품 동일계약기간의 신규 고시금리 중 낮은 이율 / 1개월 초과 : 0.1%,해당사항없음,제한없음,실명의 개인/법인,최소가입금액 : 1만원 이상 / 가입채널 : 영업점,,20241129,,202411291049
